Fecha,Precio dolar,Precio euro
Agosto 2010,"74,15 $","57,51 €"
Julio 2010,"72,51 $","56,78 €"
Junio 2010,"72,95 $","59,76 €"
Mayo 2010,"74,48 $","59,28 €"
Abril 2010,"82,33 $","61,41 €"
Marzo 2010,"77,21 $","56,90 €"
Febrero 2010,"72,99 $","53,33 €"
Enero 2010,"76,01 $","53,26 €"
Diciembre 2009,"74,01 $","50,64 €"
Noviembre 2009,"76,29 $","51,15 €"
Octubre 2009,"72,67 $","49,05 €"
Septiembre 2009,"67,17 $","46,13 €"
Agosto 2009,"71,35 $","50,01 €"
Julio 2009,"64,59 $","45,85 €"
Junio 2009,"68,36 $","48,77 €"
Mayo 2009,"56,98 $","41,74 €"
Abril 2009,"50,20 $","38,06 €"
Marzo 2009,"45,78 $","35,08 €"
Febrero 2009,"41,41 $","32,39 €"
Enero 2009,"41,54 $","31,38 €"
Diciembre 2008,"38,60 $","28,70 €"
Noviembre 2008,"49,76 $","39,08 €"
Octubre 2008,"69,16 $","51,91 €"
Septiembre 2008,"96,85 $","67,40 €"
Agosto 2008,"112,41 $","75,07 €"
Julio 2008,"131,22 $","83,21 €"
Junio 2008,"128,33 $","82,51 €"
Mayo 2008,"119,39 $","76,74 €"
Abril 2008,"105,16 $","66,76 €"
Marzo 2008,"99,03 $","63,78 €"
Febrero 2008,"90,64 $","61,46 €"
Enero 2008,"88,35 $","60,03 €"
Diciembre 2007,"87,05 $","59,75 €"
Noviembre 2007,"88,84 $","60,50 €"
Octubre 2007,"79,32 $","55,75 €"
Septiembre 2007,"74,18 $","53,38 €"
Agosto 2007,"68,71 $","50,44 €"
Julio 2007,"71,89 $","52,41 €"
Junio 2007,"66,89 $","49,85 €"
Mayo 2007,"64,48 $","47,72 €"
Abril 2007,"63,55 $","47,02 €"
Marzo 2007,"58,59 $","44,25 €"
Febrero 2007,"54,56 $","41,73 €"
Enero 2007,"50,79 $","39,07 €"
Diciembre 2006,"57,95 $","43,86 €"
Noviembre 2006,"55,42 $","43,02 €"
Octubre 2006,"54,97 $","43,59 €"
Septiembre 2006,"59,34 $","46,63 €"
Agosto 2006,"68,81 $","53,71 €"
Julio 2006,"68,89 $","54,31 €"
Junio 2006,"64,60 $","51,07 €"
Mayo 2006,"65,11 $","50,99 €"
Abril 2006,"64,44 $","52,51 €"
Marzo 2006,"57,87 $","48,14 €"
Febrero 2006,"56,62 $","47,43 €"
Enero 2006,"58,48 $","48,32 €"
Diciembre 2005,"52,64 $","44,40 €"
Noviembre 2005,"51,13 $","43,38 €"
Octubre 2005,"54,35 $","45,24 €"
Septiembre 2005,"58,05 $","47,36 €"
Agosto 2005,"57,82 $","47,04 €"
Julio 2005,"53,18 $","44,18 €"
Junio 2005,"51,69 $","42,49 €"
Mayo 2005,"46,65 $","36,75 €"
Abril 2005,"49,51 $","38,27 €"
Marzo 2005,"49,49 $","37,49 €"
Febrero 2005,"42,20 $","32,43 €"
Enero 2005,"40,52 $","30,89 €"
Diciembre 2004,"35,85 $","26,74 €"
Noviembre 2004,"38,59 $","29,71 €"
Octubre 2004,"45,08 $","36,09 €"
Septiembre 2004,"40,21 $","32,91 €"
Agosto 2004,"40,42 $","33,20 €"
Julio 2004,"36,31 $","29,60 €"
Junio 2004,"34,49 $","28,41 €"
Mayo 2004,"36,37 $","30,29 €"
Abril 2004,"32,26 $","26,92 €"
Marzo 2004,"32,23 $","26,28 €"
Febrero 2004,"29,63 $","23,43 €"
Enero 2004,"30,26 $","23,99 €"
Diciembre 2003,"29,57 $","24,07 €"
Noviembre 2003,"28,48 $","24,34 €"
Octubre 2003,"28,35 $","24,25 €"
Septiembre 2003,"26,15 $","23,30 €"
Agosto 2003,"28,69 $","25,76 €"
Julio 2003,"27,50 $","24,18 €"
Junio 2003,"26,78 $","22,96 €"
Mayo 2003,"25,63 $","22,13 €"
Abril 2003,"25,24 $","23,27 €"
Marzo 2003,"29,44 $","27,24 €"
Febrero 2003,"31,64 $","29,37 €"
Enero 2003,"30,34 $","28,56 €"
